subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 10:29:57,238 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 10:32:19,369 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 10:34:40,408 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 10:37:00,479 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 10:39:26,192 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 10:41:47,737 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 10:44:06,813 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 10:46:25,934 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 12:31:05,240 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 12:33:23,569 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 12:35:46,700 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 12:38:04,033 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 12:40:24,413 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 12:42:42,222 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 12:45:00,256 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 12:47:20,752 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 12:49:37,806 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 12:51:55,786 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 12:54:21,589 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 12:56:38,811 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 12:58:58,303 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 13:01:21,350 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:13:30,944 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:15:51,820 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:18:12,929 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:20:37,951 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:22:56,776 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:25:21,143 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:27:44,161 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:30:03,391 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:32:32,513 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:35:02,715 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:37:23,295 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:39:44,525 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:42:04,316 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 14:44:24,460 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 15:39:34,755 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 15:41:51,047 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 15:44:06,988 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 15:46:22,098 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 15:48:40,821 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 15:50:58,185 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 15:53:12,693 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 15:55:32,284 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 15:57:47,318 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 16:00:02,577 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 16:02:21,604 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 16:04:40,552 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 16:06:55,668 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 16:09:12,779 | Episode subtitles folder 'subtitles/01' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:16:52,409 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:19:07,803 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:21:22,304 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:23:39,115 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:25:53,748 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:28:11,738 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:30:27,367 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:32:40,874 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:34:54,431 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:37:08,180 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:39:22,110 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:41:35,141 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:43:49,512 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 20:46:05,426 | Episode subtitles folder 'subtitles/02' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-18 22:14:33,366 | Episode subtitles folder 'subtitles/02' not found.
main | main | line 35 | ERROR | 2025-10-19 01:24:19,054 | Current episode (3) is not configured or empty
main | main | line 35 | ERROR | 2025-10-19 03:13:42,772 | Current episode (3) is not configured or empty
main | main | line 35 | ERROR | 2025-10-19 04:20:41,238 | Current episode (3) is not configured or empty
main | main | line 35 | ERROR | 2025-10-19 06:23:41,509 | Current episode (3) is not configured or empty
main | main | line 35 | ERROR | 2025-10-19 08:19:25,213 | Current episode (3) is not configured or empty
main | main | line 35 | ERROR | 2025-10-19 10:15:50,273 | Current episode (3) is not configured or empty
main | main | line 35 | ERROR | 2025-10-19 12:31:07,718 | Current episode (3) is not configured or empty
main | main | line 35 | ERROR | 2025-10-19 14:13:45,100 | Current episode (3) is not configured or empty
main | main | line 35 | ERROR | 2025-10-19 16:18:27,032 | Current episode (3) is not configured or empty
main | main | line 35 | ERROR | 2025-10-19 18:21:29,005 | Current episode (3) is not configured or empty
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:17:30,586 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:19:44,352 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:21:54,571 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:24:05,842 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:26:15,664 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:28:27,622 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:30:39,577 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:32:49,751 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:34:59,518 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:37:10,106 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:39:21,623 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:41:31,769 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:43:41,254 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:45:53,537 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-19 20:48:05,513 | Episode subtitles folder 'subtitles/03' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:21:43,502 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:23:55,951 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:26:07,399 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:28:17,834 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:30:28,358 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:32:39,852 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:34:50,701 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:37:07,746 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:39:19,881 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:41:30,141 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:43:41,143 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:45:52,368 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:48:03,048 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:50:15,563 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 01:52:26,944 | Episode subtitles folder 'subtitles/04' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:22:55,892 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:25:10,762 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:27:25,785 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:29:39,493 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:31:53,434 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:34:06,327 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:36:20,858 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:38:34,605 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:40:47,685 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:42:59,602 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:45:17,657 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:47:33,796 | Episode subtitles folder 'subtitles/05' not found.
subtitles | get_subtitle_for_frame | line 144 | ERROR | 2025-10-20 04:49:47,863 | Episode subtitles folder 'subtitles/05' not found.
